day,events,frequency,amplitude,drop,threshold,above,alert,frequency_slope,frequency_up_count,amplitude_slope,amplitude_up_count,drop_slope,drop_up_count,trend_alert
0,5,0.10381414098011305,0.047057561304788956,1.337399989553493,0.1903982942393676,False,False,,,,,,,False
1,4,0.03731783159575763,0.04313148099603142,1.3162551998548326,0.1903982942393676,False,False,,,,,,,False
2,6,0.07467233256078759,0.0447562365672686,1.3347846653934436,0.1903982942393676,False,False,,,,,,,False
3,5,0.11006065423676782,0.04784326104336535,1.3342072865292147,0.1903982942393676,False,False,,,,,,,False
4,5,0.11459090160231472,0.047283419512506676,1.332901148196676,0.1903982942393676,False,False,0.009429634388541344,3.0,0.0005163496462769355,2.0,0.0008954403960746264,1.0,False
5,3,0.07823194417969412,0.0462379336955483,1.3334575476514594,0.1903982942393676,False,False,0.012174679420940006,3.0,0.0008740088344271779,2.0,0.0032521178396485977,2.0,False
6,7,0.11984978226300226,0.04572444996119416,1.333037514324253,0.1903982942393676,False,False,0.005852618934735548,4.0,3.310994400340336e-05,2.0,-0.00042440410161367545,2.0,False
7,6,0.12171762948337167,0.05086078382334525,1.344380033380862,0.1903982942393676,False,False,0.002857283115389513,4.0,0.0004476076008647234,2.0,0.002048185983087057,2.0,False
8,4,0.19163598065810356,0.06463934255130813,1.39652915424163,0.1903982942393676,True,False,0.019757584341525518,4.0,0.003933469620539979,2.0,0.013817849781930956,3.0,False
9,7,0.6300334236202126,0.07366582778864682,1.5127098489569457,0.1903982942393676,True,True,0.11753891572761381,4.0,0.007377068077631098,3.0,0.04219962425283492,4.0,True
10,4,1.3496375589406642,0.07755529281317436,1.5248106630087297,0.1903982942393676,True,True,0.2967891347492165,5.0,0.008646672966926191,4.0,0.05518761129450363,4.0,True
11,2,2.5405657965558106,0.0817092733204576,1.62201843941367,0.1903982942393676,True,True,0.599569791242744,5.0,0.0074612929256090916,5.0,0.0683558320832715,5.0,True
12,2,3.403634224533576,0.08249204335566585,1.7056231238226058,0.1903982942393676,True,True,0.8334528860686544,5.0,0.004374884714052615,5.0,0.07274965296186736,5.0,True
13,2,9.970464632886074,0.09697129592858726,1.773572252854819,0.1903982942393676,True,True,2.0734859084124637,5.0,0.005154768682237222,5.0,0.0702537268609622,5.0,True
